# x; y; z; I; u; delta_u; U_prime
322.5;-518;18;9.38;6.12;0;0.57
322.5;-516.99;18;9.38;6.12;0;0.57
322.5;-515.99;18;9.38;6.12;0;0.57
322.5;-514.98;18;9.38;6.12;0;0.57
322.5;-513.98;18;9.38;6.12;0;0.57
322.5;-512.97;18;9.38;6.12;0;0.57
322.5;-511.96;18;9.38;6.12;0;0.57
322.5;-510.96;18;9.38;6.12;0;0.57
322.5;-509.95;18;9.15;6.33;0;0.58
322.5;-508.95;18;8.93;6.54;0;0.58
322.5;-507.94;18;8.93;6.54;0;0.58
322.5;-506.93;18;8.93;6.54;0;0.58
322.5;-505.93;18;8.93;6.54;0;0.58
322.5;-504.92;18;8.93;6.54;0;0.58
322.5;-503.91;18;8.93;6.54;0;0.58
322.5;-502.91;18;8.93;6.54;0;0.58
322.5;-501.9;18;8.93;6.54;0;0.58
322.5;-500.9;18;8.93;6.54;0;0.58
322.5;-499.89;18;8.93;6.54;0;0.58
322.5;-498.88;18;8.93;6.54;0;0.58
322.5;-497.88;18;8.61;6.7;0;0.58
322.5;-496.87;18;8.29;6.85;0;0.57
322.5;-495.87;18;8.29;6.85;0;0.57
322.5;-494.86;18;8.29;6.85;0;0.57
322.5;-493.85;18;8.29;6.85;0;0.57
322.5;-492.85;18;8.29;6.85;0.85;0.57
322.5;-491.84;18;8.29;6.85;0.85;0.57
322.5;-490.84;18;8.29;6.85;0.85;0.57
322.5;-489.83;18;8.29;6.85;0.85;0.57
322.5;-488.82;18;8.29;6.85;0.85;0.57
322.5;-487.82;18;8.29;6.85;0.85;0.57
322.5;-486.81;18;8.14;6.91;0.85;0.56
322.5;-485.81;18;7.99;6.97;0.85;0.56
322.5;-484.8;18;7.99;6.97;0.64;0.56
322.5;-483.79;18;7.99;6.97;0.43;0.56
322.5;-482.79;18;7.99;6.97;0.43;0.56
322.5;-481.78;18;7.99;6.97;0.43;0.56
322.5;-480.78;18;7.99;6.97;0.43;0.56
322.5;-479.77;18;7.99;6.97;0.43;0.56
322.5;-478.76;18;7.99;6.97;0.43;0.56
322.5;-477.76;18;7.99;6.97;0.43;0.56
322.5;-476.75;18;7.99;6.97;0.43;0.56
322.5;-475.74;18;7.99;6.97;0.5;0.56
322.5;-474.74;18;8.06;6.94;0.66;0.56
322.5;-473.73;18;8.13;6.91;0.66;0.56
322.5;-472.73;18;8.13;6.91;0.66;0.56
322.5;-471.72;18;8.13;6.91;0.66;0.56
322.5;-470.71;18;8.13;6.91;0.66;0.56
322.5;-469.71;18;8.13;6.91;0.66;0.56
322.5;-468.7;18;8.13;6.91;0.66;0.56
322.5;-467.7;18;8.13;6.91;0.66;0.56
322.5;-466.69;18;8.13;6.91;0.66;0.56
322.5;-465.68;18;8.13;6.91;0.66;0.56
322.5;-464.68;18;8.13;6.91;0.71;0.56
322.5;-463.67;18;8.39;6.77;0.77;0.57
322.5;-462.67;18;8.65;6.64;0.77;0.57
322.5;-461.66;18;8.65;6.64;0.77;0.57
322.5;-460.65;18;8.65;6.64;0.77;0.57
322.5;-459.65;18;8.65;6.64;0.77;0.57
322.5;-458.64;18;8.65;6.64;0.77;0.57
322.5;-457.64;18;8.65;6.64;0.77;0.57
322.5;-456.63;18;8.65;6.64;0.77;0.57
322.5;-455.62;18;8.65;6.64;0.77;0.57
322.5;-454.62;18;8.65;6.64;0.77;0.57
322.5;-453.61;18;8.65;6.64;0.77;0.57
322.5;-452.61;18;8.65;6.64;0.77;0.57
322.5;-451.6;18;8.91;6.47;0.77;0.58
322.5;-450.59;18;9.16;6.3;0.77;0.58
322.5;-449.59;18;9.16;6.3;0.73;0.58
322.5;-448.58;18;9.16;6.3;0.7;0.58
322.5;-447.57;18;9.16;6.3;0.7;0.58
322.5;-446.57;18;9.16;6.3;0.7;0.58
322.5;-445.56;18;9.16;6.3;0.7;0.58
322.5;-444.56;18;9.16;6.3;0.7;0.58
322.5;-443.55;18;9.16;6.3;0.7;0.58
322.5;-442.54;18;9.16;6.3;0.7;0.58
322.5;-441.54;18;9.16;6.3;0.7;0.58
322.5;-440.53;18;9.30;6.25;0.7;0.58
322.5;-439.53;18;9.44;6.2;0.7;0.59
322.5;-438.52;18;9.44;6.2;0.66;0.59
322.5;-437.51;18;9.44;6.2;0.66;0.59
322.5;-436.51;18;9.44;6.2;0.66;0.59
322.5;-435.5;18;9.44;6.2;0.66;0.59
322.5;-434.5;18;9.44;6.2;0.66;0.59
322.5;-433.49;18;9.44;6.2;0.66;0.59
322.5;-432.48;18;9.44;6.2;0.72;0.59
322.5;-431.48;18;9.44;6.2;0.79;0.59
322.5;-430.47;18;9.44;6.2;0.79;0.59
322.5;-429.47;18;9.29;6.34;0.79;0.59
322.5;-428.46;18;9.14;6.48;0.79;0.59
322.5;-427.45;18;9.14;6.48;0.79;0.59
322.5;-426.45;18;9.14;6.48;0.79;0.59
322.5;-425.44;18;9.14;6.48;0.79;0.59
322.5;-424.44;18;9.14;6.48;0.79;0.59
322.5;-423.43;18;9.14;6.48;0.79;0.59
322.5;-422.42;18;9.14;6.48;0.79;0.59
322.5;-421.42;18;9.14;6.48;0.79;0.59
322.5;-420.41;18;9.14;6.48;0.79;0.59
322.5;-419.4;18;8.76;6.67;0.79;0.58
322.5;-418.4;18;8.38;6.86;0.79;0.58
322.5;-417.39;18;8.38;6.86;0.79;0.58
322.5;-416.39;18;8.38;6.86;0.79;0.58
322.5;-415.38;18;8.38;6.86;0.79;0.58
322.5;-414.37;18;8.38;6.86;0.79;0.58
322.5;-413.37;18;8.38;6.86;0.79;0.58
322.5;-412.36;18;8.38;6.86;0.79;0.58
322.5;-411.36;18;8.38;6.86;0.79;0.58
322.5;-410.35;18;8.38;6.86;0.79;0.58
322.5;-409.34;18;8.38;6.86;0.79;0.58
322.5;-408.34;18;8.15;6.93;0.79;0.57
322.5;-407.33;18;7.92;6.99;0.79;0.55
322.5;-406.33;18;7.92;6.99;0.79;0.55
322.5;-405.32;18;7.92;6.99;0.79;0.55
322.5;-404.31;18;7.92;6.99;0.65;0.55
322.5;-403.31;18;7.92;6.99;0.52;0.55
322.5;-402.3;18;7.92;6.99;0.52;0.55
322.5;-401.3;18;7.92;6.99;0.52;0.55
322.5;-400.29;18;7.92;6.99;0.52;0.55
322.5;-399.28;18;7.92;6.99;0.52;0.55
322.5;-398.28;18;7.92;6.99;0.52;0.55
322.5;-397.27;18;7.89;6.97;0.52;0.55
322.5;-396.27;18;7.86;6.94;0.52;0.55
322.5;-395.26;18;7.86;6.94;0.52;0.55
322.5;-394.25;18;7.86;6.94;0.46;0.55
322.5;-393.25;18;7.86;6.94;0.46;0.55
322.5;-392.24;18;7.86;6.94;0.46;0.55
322.5;-391.23;18;7.86;6.94;0.61;0.55
322.5;-390.23;18;7.86;6.94;0.77;0.55
322.5;-389.22;18;7.86;6.94;0.77;0.55
322.5;-388.22;18;7.86;6.94;0.77;0.55
322.5;-387.21;18;7.95;6.86;0.77;0.55
322.5;-386.2;18;8.03;6.78;0.77;0.55
322.5;-385.2;18;8.03;6.78;0.77;0.55
322.5;-384.19;18;8.03;6.78;0.77;0.55
322.5;-383.19;18;8.03;6.78;0.77;0.55
322.5;-382.18;18;8.03;6.78;0.77;0.55
322.5;-381.17;18;8.03;6.78;0.94;0.55
322.5;-380.17;18;8.03;6.78;1.12;0.55
322.5;-379.16;18;8.03;6.78;1.12;0.55
322.5;-378.16;18;8.03;6.78;1.12;0.55
322.5;-377.15;18;8.18;6.66;1.12;0.55
